,0
0,507.9219399120213
1,494.9955900926261
2,502.97839228009997
3,379.8662638252178
4,314.5318743974748
5,477.3376743210659
6,493.69637265238265
7,300.44383520399174
8,359.99122587219404
9,328.67605970781887
10,521.6329194386699
11,331.61043706032723
12,591.2963793310836
13,312.33675008536915
14,341.6681833999592
15,548.6091198566911
16,533.7832101296352
17,613.7718585805561
18,350.78840645731714
19,391.986047863315
20,388.4031587957532
21,367.4211734703738
22,271.41113973200663
23,356.02031742584774
24,435.56326203324505
25,375.8678173221526
26,309.3999454805679
27,352.5040561090313
28,296.9221721326166
29,510.5594943117427
30,564.0323971224851
31,512.8120256426373
32,411.64865239223496
33,339.98272665667673
34,509.77238560785173
35,350.4644223784365
36,580.1447885437328
37,289.6498461264806
38,357.93637772536715
39,364.88785397628055
40,354.9434382261379
41,348.52682237281033
42,343.35373839495526
43,613.5315387896118
44,369.70254159045544
45,361.191629615987
46,311.94654348978173
47,627.162649569473
48,505.604302669915
49,548.3782878993178
50,493.70633267337615
51,518.1889100289989
52,313.28523608079377
53,489.3199946897199
54,422.49597055698393
55,569.5326080691214
56,307.72717691415244
57,304.0179810866157
58,333.3423681372041
59,318.7641327690334
60,510.534545954311
61,271.83661482541356
62,280.1139639083693
63,482.7735434135979
64,516.250329076009
65,337.249985686036
66,295.7783835185378
67,285.8459504355519
68,344.1250230444514
69,628.9504994896328
70,416.1050610907785
71,262.38296653372265
72,275.80446501143274
73,338.0679042931955
74,523.9519381408154
75,369.0774734149565
76,312.88280272899186
77,633.6237698831421
78,283.2857478998195
79,440.24230188780365
80,486.1292614976712
81,367.0335795884382
82,329.18219158996806
83,359.42670737421776
84,326.0495833635374
85,581.5049656007621
86,489.1358217353838
87,490.20797954013193
88,364.1896141403851
89,542.8468513016312
90,467.5993632510637
91,656.5964169775862
92,428.72347481733755
93,285.536857734641
94,561.9656222044432
95,384.55354979935123
96,300.9600117276807
97,335.65405020398134
98,364.1816393465354
99,327.020553885213
100,503.24375229100576
101,452.42275433582483
102,278.59016880719395
103,481.5519852522123
104,396.7951075156009
105,367.25606073783064
106,504.0701739627646
107,522.2290683047565
108,628.2379712079337
109,673.4053541992873
110,501.8279116382936
111,526.821570834245
112,512.1584673701776
113,524.8372719589707
114,371.2285298801577
115,360.9022237289969
116,528.3338216170025
117,359.3985103676986
118,380.321115636406
119,428.502287874921
120,330.03702766041994
121,518.0764608725594
122,293.07613000901284
123,518.0923053125531
124,359.45184859005315
125,327.7197705969652
126,362.4350456471994
127,692.0735366739196
128,280.9837817566466
129,338.53169876655227
130,486.21758827878654
131,480.334301171072
132,521.6413984038288
133,294.54987140496473
134,425.6690815728095
135,320.3679611564594
136,303.67486390991985
137,353.72799761173064
138,331.3678783371503
139,314.64300231057723
140,324.2472653449287
141,297.46187208773716
142,341.66015490832626
143,297.98303786532125
144,482.25297490772346
145,593.5125291487412
146,596.6835018978551
147,291.31576624861884
148,376.9194288042279
149,380.31334477620766
150,347.55973329410114
151,533.9467875385199
152,514.7103556173163
153,339.40382078989313
154,552.5521809558477
155,655.6172050885234
156,683.0580614005407
157,599.6233511814289
158,347.7822279456489
159,314.310671043197
160,355.10414007836016
161,312.95159418629447
162,679.65825969311
163,363.3997655143629
164,530.0086954672134
165,544.8792619797089
166,452.73408607931884
167,369.6111464901106
168,522.8769960713282
169,374.1659937180022
170,344.62050379421265
171,326.453472189598
172,326.1398519599221
173,364.60654476598813
174,396.63159347158745
175,299.0121619273329
176,503.13211468104663
177,362.6869607084203
178,360.8384517389623
179,363.0097982199944
180,379.7206469338796
181,294.0191673522496
182,292.0025803239081
183,503.51534690206535
184,359.00725703468754
185,272.78473395813575
186,492.5680858566262
187,339.8667158959285
188,380.8428068689094
189,630.823319454886
190,258.3852317069792
191,549.9036039057579
192,447.2669795490054
193,423.6826806619576
194,362.9212131860839
195,433.0225073860126
196,285.93621233024214
197,516.9330827939418
198,355.055909528781
199,272.80339410802026
200,370.5997311767518
201,350.12868460461607
202,312.2002361595125
203,358.13784368984864
204,373.76815963064274
205,478.5800070551429
206,516.7472987550183
207,367.7481581366916
208,382.63087996724187
209,668.2220055856035
210,348.9791600287198
211,301.68603867604855
212,330.84474656922123
213,365.4511741070367
214,355.83009777058487
215,504.54455747768395
216,424.96759352904303
217,302.242767656759
218,522.8726760701305
219,344.98693038470844
220,468.86835769500425
221,367.67737979963067
222,374.80789525463103
223,486.27118326814576
224,354.01713507278305
225,337.73228089240047
226,537.5179215600251
227,265.14185913176135
228,371.37478910039624
229,374.9964280304388
230,587.8393793478433
231,357.84219920957776
232,370.1917485110166
233,381.9189769953012
234,330.03929019605414
235,416.5373752539993
236,300.01788410686527
237,316.9040420850224
238,319.0348017699521
239,547.321654737831
240,330.1399339042476
241,384.4019803168135
242,243.54540594033935
243,261.49428904520914
244,271.3659633080375
245,429.84984870218346
246,573.2941027655858
247,413.2525677285461
248,464.0840177509158
249,352.1743024191689
250,367.2765354002708
251,348.29861837039283
252,360.74177399534824
253,348.89063091280553
254,536.9793871810092
255,285.07685780979307
256,504.33587752019207
257,382.2386653983288
258,609.3205682458442
259,280.7326509450076
260,260.07727579239213
261,295.64248428537707
262,299.34064459023034
263,384.123373996077
264,612.0881145252328
265,380.17567270601745
266,657.4478749313196
267,363.18691982028497
268,530.9852062459012
269,313.29467159122464
270,512.6223861544822
271,251.9035894174134
272,517.7584923920183
273,363.21401269311536
274,279.6347299234306
275,352.28575194163926
276,351.53749651434816
277,278.7787718159831
278,294.9369179974239
279,490.9126640866658
280,360.4272440877135
281,588.5972041673061
282,322.41911522250973
283,539.6473008044129
284,354.2495299676645
285,366.9642496278589
286,287.9234320939082
287,532.141098755318
288,365.6359451219024
289,301.8435472710913
290,271.44771629606197
291,537.1685102193915
292,366.0264305028313
293,548.6142111949855
294,487.3435075315678
295,427.46559539904064
296,610.0496223601813
297,418.64850386711123
298,507.0223656633832
299,336.9374262364797
300,269.1681694794651
301,349.5884762587776
302,360.99309362050644
